,RPA nodes x,RPA nodes y,RPA nodes z
448,94.1000977,55.7484016,99.7173996
449,90.0884018,55.1016998,98.3927002
450,137.261002,53.8069,98.6027985
451,114.601997,25.4475002,79.3298035
452,87.9088974,66.6288986,101.269997
453,93.0996017,79.1708984,103.161003
454,158.908997,64.8841019,87.7036972
455,90.2031021,54.1100006,99.4316025
456,90.9530029,56.4544983,99.513298
457,92.4636993,56.8709984,99.831398
458,132.735001,105.685997,91.3973007
459,132.003998,105.108002,91.9123001
460,132.662003,104.103996,91.9251022
461,94.2167969,38.3204994,91.441597
462,93.4707031,50.7803001,98.9878006
463,94.5206985,51.2247009,99.8542023
464,146.298996,57.6855011,94.1313019
465,144.914993,56.4003983,94.5663986
466,146.548996,55.9712982,93.3769989
467,147.431,57.142601,93.2574005
468,94.2565994,45.476799,95.0401001
469,95.430603,46.4249001,94.9723969
470,95.8498993,45.1651001,95.6837997
471,154.848999,62.3834,89.6948013
472,93.1513977,52.4468002,99.9720001
473,102.788002,29.6464996,82.983902
474,124.017998,28.4174004,80.5671005
475,125.406998,28.2674999,80.3178024
476,103.341003,31.6966,87.1185989
477,102.728996,69.6060028,105.43
478,103.691002,68.8371964,106.360001
479,124.5,77.5482025,104.544998
480,146.660004,29.4314003,63.2192993
481,113.279999,24.8868999,77.5596008
482,112.897003,25.8178005,79.0570984
483,113.202003,26.9829006,78.4297028
484,112.986,26.1797009,77.0343018
485,114.681,26.1142998,76.8991013
486,95.3759995,71.175499,103.468002
487,130.738998,85.0570984,101.635002
488,124.533997,29.1882,81.9452972
489,133.953995,81.7906036,101.853996
490,134.531006,80.6097031,101.594002
491,132.337997,81.7546005,102.195999
492,127.097,31.7152004,84.691803
493,110.154999,38.5854988,91.9023972
494,103.68,60.4784012,103.510002
495,102.599998,59.0522995,104.432999
496,136.927002,36.1203003,86.0589981
497,124.878998,68.0727997,105.903
498,124.366997,57.2537003,103.661003
499,124.387001,54.7853012,102.508003
500,141.158005,69.4571991,100.403999
501,116.598,81.3050003,104.309998
502,83.9072037,75.9781036,100.499001
503,85.2421036,76.5774002,100.958
504,84.4104996,78.8740005,101.025002
505,113.579002,32.8432999,87.3299026
506,133.682999,65.6743011,103.316002
507,132.468002,64.1873016,103.492996
508,133.901001,63.6105995,103.001999
